antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'php'}),frozenset({'laravel'}),0.029,0.011666666666666667,0.010666666666666666,0.367816091954023,31.52709359605911,1.0,0.010328333333333333,1.5633636363636363,0.9972000514933059,0.35555555555555546,0.3603535500377973,0.6410509031198686
frozenset({'laravel'}),frozenset({'php'}),0.011666666666666667,0.029,0.010666666666666666,0.9142857142857143,31.52709359605911,1.0,0.010328333333333333,11.32833333333333,0.9797112141652614,0.35555555555555546,0.9117257613653081,0.6410509031198686
frozenset({'pytorch'}),"frozenset({'python', 'deep-learning'})",0.025666666666666667,0.03233333333333333,0.014666666666666666,0.5714285714285714,17.673048600883654,1.0,0.013836777777777778,2.2578888888888886,0.9682689018132056,0.3384615384615385,0.557108410019192,0.5125184094256259
"frozenset({'python', 'deep-learning'})",frozenset({'pytorch'}),0.03233333333333333,0.025666666666666667,0.014666666666666666,0.4536082474226804,17.67304860088365,1.0,0.013836777777777778,1.7832138364779873,0.9749397175335859,0.3384615384615385,0.4392147595853716,0.5125184094256259
frozenset({'swift'}),frozenset({'ios'}),0.027,0.027333333333333334,0.011666666666666667,0.4320987654320988,15.808491418247517,1.0,0.010928666666666666,1.7127391304347828,0.9627367493760094,0.2734375,0.41613992333663347,0.4294640168623909
frozenset({'ios'}),frozenset({'swift'}),0.027333333333333334,0.027,0.011666666666666667,0.4268292682926829,15.808491418247515,1.0,0.010928666666666666,1.6975744680851061,0.9630666797219231,0.2734375,0.41092422229463815,0.4294640168623909
frozenset({'deep-learning'}),frozenset({'pytorch'}),0.041,0.025666666666666667,0.015333333333333332,0.37398373983739835,14.570795058599936,1.0,0.014280999999999999,1.5564025974025977,0.9711882848982183,0.2987012987012987,0.35749271964153095,0.4856931686199979
frozenset({'pytorch'}),frozenset({'deep-learning'}),0.025666666666666667,0.041,0.015333333333333332,0.5974025974025974,14.570795058599936,1.0,0.014280999999999999,2.3820322580645157,0.9559044459980067,0.2987012987012987,0.5801904039651693,0.4856931686199979
"frozenset({'python', 'pytorch'})",frozenset({'deep-learning'}),0.024666666666666667,0.041,0.014666666666666666,0.5945945945945946,14.502307185234015,1.0,0.013655333333333334,2.3655333333333335,0.9545920586590443,0.28758169934640526,0.5772623509849787,0.4761590859151835
frozenset({'deep-learning'}),"frozenset({'python', 'pytorch'})",0.041,0.024666666666666667,0.014666666666666666,0.35772357723577236,14.502307185234015,1.0,0.013655333333333334,1.5185569620253163,0.9708503175656461,0.28758169934640526,0.3414800860243736,0.4761590859151835
frozenset({'deep-learning'}),"frozenset({'python', 'machine-learning'})",0.041,0.028333333333333332,0.016666666666666666,0.4065040650406504,14.347202295552368,1.0,0.015505,1.6371917808219179,0.97007299270073,0.3164556962025316,0.38919800861816506,0.49736967957914874
"frozenset({'python', 'machine-learning'})",frozenset({'deep-learning'}),0.028333333333333332,0.041,0.016666666666666666,0.5882352941176471,14.347202295552368,1.0,0.015505,2.329,0.9574271012006861,0.3164556962025316,0.5706311721769,0.49736967957914874
frozenset({'kubernetes'}),frozenset({'docker'}),0.025,0.03333333333333333,0.011333333333333334,0.45333333333333337,13.600000000000001,1.0,0.0105,1.7682926829268293,0.9502262443438914,0.24113475177304966,0.4344827586206897,0.3966666666666667
frozenset({'docker'}),frozenset({'kubernetes'}),0.03333333333333333,0.025,0.011333333333333334,0.34,13.6,1.0,0.0105,1.4772727272727275,0.95841784989858,0.24113475177304966,0.3230769230769231,0.3966666666666667
frozenset({'deep-learning'}),frozenset({'machine-learning'}),0.041,0.041,0.021666666666666667,0.5284552845528455,12.88915328177672,1.0,0.019985666666666665,2.0337413793103445,0.9618512873987326,0.3591160220994475,0.5082953957798181,0.5284552845528455
frozenset({'machine-learning'}),frozenset({'deep-learning'}),0.041,0.041,0.021666666666666667,0.5284552845528455,12.88915328177672,1.0,0.019985666666666665,2.0337413793103445,0.9618512873987326,0.3591160220994475,0.5082953957798181,0.5284552845528455
"frozenset({'python', 'deep-learning'})",frozenset({'machine-learning'}),0.03233333333333333,0.041,0.016666666666666666,0.5154639175257733,12.572290671360323,1.0,0.015341,1.979212765957447,0.9512159834653806,0.2941176470588235,0.49474861055867914,0.4609839912832118
frozenset({'machine-learning'}),"frozenset({'python', 'deep-learning'})",0.041,0.03233333333333333,0.016666666666666666,0.4065040650406504,12.572290671360323,1.0,0.015341,1.6304520547945205,0.9598123044838375,0.2941176470588235,0.3866731640103173,0.4609839912832118
frozenset({'css'}),frozenset({'html'}),0.025,0.037333333333333336,0.010333333333333333,0.41333333333333333,11.071428571428571,1.0,0.0094,1.6409090909090909,0.9330024813895783,0.1987179487179487,0.39058171745152354,0.34505952380952376
